source,target,type,confidence,tag,weight
src/indexing/vectorize_snomed.py,sqlite3,imports,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,os,imports,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,sys,imports,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,time,imports,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,json,imports,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,pathlib.Path,imports,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::get_db_connection,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::load_concepts_from_db,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::build_document_text,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::build_metadata,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::create_chroma_collection,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::index_concepts,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::verify_index,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::save_index_stats,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py,src/indexing/vectorize_snomed.py::main,contains,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py::get_db_connection,exists,calls,0.8,INFERRED,1.6
src/indexing/vectorize_snomed.py::get_db_connection,print,calls,1.0,EXTRACTED,4.0
src/indexing/vectorize_snomed.py::get_db_connection,exit,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::get_db_connection,connect,calls,0.8,INFERRED,1.6
src/indexing/vectorize_snomed.py::get_db_connection,str,calls,1.0,EXTRACTED,2.0
src/indexing/vectorize_snomed.py::load_concepts_from_db,cursor,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::load_concepts_from_db,fetchall,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::load_concepts_from_db,join,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::load_concepts_from_db,execute,calls,0.8,INFERRED,1.6
src/indexing/vectorize_snomed.py::load_concepts_from_db,append,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::build_document_text,join,calls,0.8,INFERRED,1.6
src/indexing/vectorize_snomed.py::build_document_text,append,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::build_document_text,split,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::create_chroma_collection,SentenceTransformerEmbeddingFunction,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::create_chroma_collection,PersistentClient,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::create_chroma_collection,create_collection,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::create_chroma_collection,delete_collection,calls,0.8,INFERRED,0.8
src/indexing/vectorize_snomed.py::create_chroma_collection,print,calls,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py::create_chroma_collection,str,calls,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py::index_concepts,len,calls,1.0,EXTRACTED,1.0
src/indexing/vectorize_snomed.py::index_concepts,print,calls,1.0,EXTRACTED,3.0
